t,active_size,active_centroid_depth,pocket_size,pocket_centroid_depth,jaccard_prev,active_jaccard_prev
0,12,2.0,103,2.3980582524271843,nan,nan
1,174,6.712643678160919,235,5.170212765957447,0.43829787234042555,0.06896551724137931
2,174,6.712643678160919,235,5.170212765957447,1.0,1.0
3,174,6.712643678160919,235,5.170212765957447,1.0,1.0
4,174,6.712643678160919,235,5.170212765957447,1.0,1.0
5,174,6.712643678160919,235,5.170212765957447,1.0,1.0
6,174,6.712643678160919,235,5.170212765957447,1.0,1.0
7,174,6.712643678160919,235,5.170212765957447,1.0,1.0
8,174,6.712643678160919,235,5.170212765957447,1.0,1.0
9,174,6.712643678160919,235,5.170212765957447,1.0,1.0
10,174,6.712643678160919,235,5.170212765957447,1.0,1.0
11,174,6.712643678160919,235,5.170212765957447,1.0,1.0
12,174,6.712643678160919,235,5.170212765957447,1.0,1.0
13,174,6.712643678160919,235,5.170212765957447,1.0,1.0
14,174,6.712643678160919,235,5.170212765957447,1.0,1.0
15,174,6.712643678160919,235,5.170212765957447,1.0,1.0
16,174,6.712643678160919,235,5.170212765957447,1.0,1.0
17,174,6.712643678160919,235,5.170212765957447,1.0,1.0
18,174,6.712643678160919,235,5.170212765957447,1.0,1.0
19,174,6.712643678160919,235,5.170212765957447,1.0,1.0
20,174,6.712643678160919,235,5.170212765957447,1.0,1.0
21,174,6.712643678160919,235,5.170212765957447,1.0,1.0
22,174,6.712643678160919,235,5.170212765957447,1.0,1.0
23,174,6.712643678160919,235,5.170212765957447,1.0,1.0
24,174,6.712643678160919,235,5.170212765957447,1.0,1.0
25,174,6.712643678160919,235,5.170212765957447,1.0,1.0
26,174,6.712643678160919,235,5.170212765957447,1.0,1.0
27,174,6.712643678160919,235,5.170212765957447,1.0,1.0
28,174,6.712643678160919,235,5.170212765957447,1.0,1.0
29,174,6.712643678160919,235,5.170212765957447,1.0,1.0
30,174,6.712643678160919,235,5.170212765957447,1.0,1.0
31,174,6.712643678160919,235,5.170212765957447,1.0,1.0
32,174,6.712643678160919,235,5.170212765957447,1.0,1.0
