t,active_size,active_centroid_depth,pocket_size,pocket_centroid_depth,jaccard_prev,active_jaccard_prev
0,15,1.0,58,0.7241379310344828,nan,nan
1,63,3.015873015873016,263,2.931558935361217,0.22053231939163498,0.23809523809523808
2,63,3.015873015873016,263,2.931558935361217,1.0,1.0
3,63,3.015873015873016,263,2.931558935361217,1.0,1.0
4,63,3.015873015873016,263,2.931558935361217,1.0,1.0
5,63,3.015873015873016,263,2.931558935361217,1.0,1.0
6,63,3.015873015873016,263,2.931558935361217,1.0,1.0
7,63,3.015873015873016,263,2.931558935361217,1.0,1.0
8,63,3.015873015873016,263,2.931558935361217,1.0,1.0
9,63,3.015873015873016,263,2.931558935361217,1.0,1.0
10,63,3.015873015873016,263,2.931558935361217,1.0,1.0
11,63,3.015873015873016,263,2.931558935361217,1.0,1.0
12,63,3.015873015873016,263,2.931558935361217,1.0,1.0
13,63,3.015873015873016,263,2.931558935361217,1.0,1.0
14,63,3.015873015873016,263,2.931558935361217,1.0,1.0
15,63,3.015873015873016,263,2.931558935361217,1.0,1.0
16,63,3.015873015873016,263,2.931558935361217,1.0,1.0
17,63,3.015873015873016,263,2.931558935361217,1.0,1.0
18,63,3.015873015873016,263,2.931558935361217,1.0,1.0
19,63,3.015873015873016,263,2.931558935361217,1.0,1.0
20,63,3.015873015873016,263,2.931558935361217,1.0,1.0
21,63,3.015873015873016,263,2.931558935361217,1.0,1.0
22,63,3.015873015873016,263,2.931558935361217,1.0,1.0
23,63,3.015873015873016,263,2.931558935361217,1.0,1.0
24,63,3.015873015873016,263,2.931558935361217,1.0,1.0
25,63,3.015873015873016,263,2.931558935361217,1.0,1.0
26,63,3.015873015873016,263,2.931558935361217,1.0,1.0
27,63,3.015873015873016,263,2.931558935361217,1.0,1.0
28,63,3.015873015873016,263,2.931558935361217,1.0,1.0
29,63,3.015873015873016,263,2.931558935361217,1.0,1.0
30,63,3.015873015873016,263,2.931558935361217,1.0,1.0
31,63,3.015873015873016,263,2.931558935361217,1.0,1.0
32,63,3.015873015873016,263,2.931558935361217,1.0,1.0
33,63,3.015873015873016,263,2.931558935361217,1.0,1.0
34,63,3.015873015873016,263,2.931558935361217,1.0,1.0
35,63,3.015873015873016,263,2.931558935361217,1.0,1.0
36,63,3.015873015873016,263,2.931558935361217,1.0,1.0
37,63,3.015873015873016,263,2.931558935361217,1.0,1.0
38,63,3.015873015873016,263,2.931558935361217,1.0,1.0
39,63,3.015873015873016,263,2.931558935361217,1.0,1.0
40,63,3.015873015873016,263,2.931558935361217,1.0,1.0
41,63,3.015873015873016,263,2.931558935361217,1.0,1.0
42,63,3.015873015873016,263,2.931558935361217,1.0,1.0
43,63,3.015873015873016,263,2.931558935361217,1.0,1.0
44,63,3.015873015873016,263,2.931558935361217,1.0,1.0
45,63,3.015873015873016,263,2.931558935361217,1.0,1.0
46,63,3.015873015873016,263,2.931558935361217,1.0,1.0
47,63,3.015873015873016,263,2.931558935361217,1.0,1.0
48,63,3.015873015873016,263,2.931558935361217,1.0,1.0
49,63,3.015873015873016,263,2.931558935361217,1.0,1.0
50,63,3.015873015873016,263,2.931558935361217,1.0,1.0
51,63,3.015873015873016,263,2.931558935361217,1.0,1.0
52,63,3.015873015873016,263,2.931558935361217,1.0,1.0
53,63,3.015873015873016,263,2.931558935361217,1.0,1.0
54,63,3.015873015873016,263,2.931558935361217,1.0,1.0
55,63,3.015873015873016,263,2.931558935361217,1.0,1.0
56,63,3.015873015873016,263,2.931558935361217,1.0,1.0
57,63,3.015873015873016,263,2.931558935361217,1.0,1.0
58,63,3.015873015873016,263,2.931558935361217,1.0,1.0
59,63,3.015873015873016,263,2.931558935361217,1.0,1.0
60,63,3.015873015873016,263,2.931558935361217,1.0,1.0
61,63,3.015873015873016,263,2.931558935361217,1.0,1.0
62,63,3.015873015873016,263,2.931558935361217,1.0,1.0
63,63,3.015873015873016,263,2.931558935361217,1.0,1.0
64,63,3.015873015873016,263,2.931558935361217,1.0,1.0
65,63,3.015873015873016,263,2.931558935361217,1.0,1.0
66,63,3.015873015873016,263,2.931558935361217,1.0,1.0
67,63,3.015873015873016,263,2.931558935361217,1.0,1.0
68,63,3.015873015873016,263,2.931558935361217,1.0,1.0
69,63,3.015873015873016,263,2.931558935361217,1.0,1.0
70,63,3.015873015873016,263,2.931558935361217,1.0,1.0
71,63,3.015873015873016,263,2.931558935361217,1.0,1.0
72,63,3.015873015873016,263,2.931558935361217,1.0,1.0
73,63,3.015873015873016,263,2.931558935361217,1.0,1.0
74,63,3.015873015873016,263,2.931558935361217,1.0,1.0
75,63,3.015873015873016,263,2.931558935361217,1.0,1.0
76,63,3.015873015873016,263,2.931558935361217,1.0,1.0
77,63,3.015873015873016,263,2.931558935361217,1.0,1.0
78,63,3.015873015873016,263,2.931558935361217,1.0,1.0
79,63,3.015873015873016,263,2.931558935361217,1.0,1.0
80,63,3.015873015873016,263,2.931558935361217,1.0,1.0
81,63,3.015873015873016,263,2.931558935361217,1.0,1.0
82,63,3.015873015873016,263,2.931558935361217,1.0,1.0
83,63,3.015873015873016,263,2.931558935361217,1.0,1.0
84,63,3.015873015873016,263,2.931558935361217,1.0,1.0
85,63,3.015873015873016,263,2.931558935361217,1.0,1.0
86,63,3.015873015873016,263,2.931558935361217,1.0,1.0
87,63,3.015873015873016,263,2.931558935361217,1.0,1.0
88,63,3.015873015873016,263,2.931558935361217,1.0,1.0
89,63,3.015873015873016,263,2.931558935361217,1.0,1.0
90,63,3.015873015873016,263,2.931558935361217,1.0,1.0
91,63,3.015873015873016,263,2.931558935361217,1.0,1.0
92,63,3.015873015873016,263,2.931558935361217,1.0,1.0
93,63,3.015873015873016,263,2.931558935361217,1.0,1.0
94,63,3.015873015873016,263,2.931558935361217,1.0,1.0
95,63,3.015873015873016,263,2.931558935361217,1.0,1.0
96,63,3.015873015873016,263,2.931558935361217,1.0,1.0
97,63,3.015873015873016,263,2.931558935361217,1.0,1.0
98,63,3.015873015873016,263,2.931558935361217,1.0,1.0
99,63,3.015873015873016,263,2.931558935361217,1.0,1.0
100,63,3.015873015873016,263,2.931558935361217,1.0,1.0
101,63,3.015873015873016,263,2.931558935361217,1.0,1.0
102,63,3.015873015873016,263,2.931558935361217,1.0,1.0
103,63,3.015873015873016,263,2.931558935361217,1.0,1.0
104,63,3.015873015873016,263,2.931558935361217,1.0,1.0
105,63,3.015873015873016,263,2.931558935361217,1.0,1.0
106,63,3.015873015873016,263,2.931558935361217,1.0,1.0
107,63,3.015873015873016,263,2.931558935361217,1.0,1.0
108,63,3.015873015873016,263,2.931558935361217,1.0,1.0
109,63,3.015873015873016,263,2.931558935361217,1.0,1.0
110,63,3.015873015873016,263,2.931558935361217,1.0,1.0
111,63,3.015873015873016,263,2.931558935361217,1.0,1.0
112,63,3.015873015873016,263,2.931558935361217,1.0,1.0
113,63,3.015873015873016,263,2.931558935361217,1.0,1.0
114,63,3.015873015873016,263,2.931558935361217,1.0,1.0
115,63,3.015873015873016,263,2.931558935361217,1.0,1.0
116,63,3.015873015873016,263,2.931558935361217,1.0,1.0
117,63,3.015873015873016,263,2.931558935361217,1.0,1.0
118,63,3.015873015873016,263,2.931558935361217,1.0,1.0
119,63,3.015873015873016,263,2.931558935361217,1.0,1.0
120,63,3.015873015873016,263,2.931558935361217,1.0,1.0
121,63,3.015873015873016,263,2.931558935361217,1.0,1.0
122,63,3.015873015873016,263,2.931558935361217,1.0,1.0
123,63,3.015873015873016,263,2.931558935361217,1.0,1.0
124,63,3.015873015873016,263,2.931558935361217,1.0,1.0
125,63,3.015873015873016,263,2.931558935361217,1.0,1.0
126,63,3.015873015873016,263,2.931558935361217,1.0,1.0
127,63,3.015873015873016,263,2.931558935361217,1.0,1.0
128,63,3.015873015873016,263,2.931558935361217,1.0,1.0
129,63,3.015873015873016,263,2.931558935361217,1.0,1.0
130,63,3.015873015873016,263,2.931558935361217,1.0,1.0
131,63,3.015873015873016,263,2.931558935361217,1.0,1.0
132,63,3.015873015873016,263,2.931558935361217,1.0,1.0
133,63,3.015873015873016,263,2.931558935361217,1.0,1.0
134,63,3.015873015873016,263,2.931558935361217,1.0,1.0
135,63,3.015873015873016,263,2.931558935361217,1.0,1.0
136,63,3.015873015873016,263,2.931558935361217,1.0,1.0
137,63,3.015873015873016,263,2.931558935361217,1.0,1.0
138,63,3.015873015873016,263,2.931558935361217,1.0,1.0
139,63,3.015873015873016,263,2.931558935361217,1.0,1.0
140,63,3.015873015873016,263,2.931558935361217,1.0,1.0
141,63,3.015873015873016,263,2.931558935361217,1.0,1.0
142,63,3.015873015873016,263,2.931558935361217,1.0,1.0
143,63,3.015873015873016,263,2.931558935361217,1.0,1.0
144,63,3.015873015873016,263,2.931558935361217,1.0,1.0
145,63,3.015873015873016,263,2.931558935361217,1.0,1.0
146,63,3.015873015873016,263,2.931558935361217,1.0,1.0
147,63,3.015873015873016,263,2.931558935361217,1.0,1.0
148,63,3.015873015873016,263,2.931558935361217,1.0,1.0
