t,active_size,pocket_size,pocket_centroid_depth,jaccard_prev
0,6,120,4.533333333333333,nan
1,48,120,4.533333333333333,1.0
2,59,120,4.533333333333333,1.0
3,72,120,4.533333333333333,1.0
4,76,120,4.533333333333333,1.0
5,76,120,4.533333333333333,1.0
6,76,120,4.533333333333333,1.0
7,76,120,4.533333333333333,1.0
8,76,120,4.533333333333333,1.0
9,76,120,4.533333333333333,1.0
10,76,120,4.533333333333333,1.0
11,76,120,4.533333333333333,1.0
12,76,120,4.533333333333333,1.0
13,76,120,4.533333333333333,1.0
14,76,120,4.533333333333333,1.0
15,76,120,4.533333333333333,1.0
16,76,120,4.533333333333333,1.0
17,76,120,4.533333333333333,1.0
18,76,120,4.533333333333333,1.0
19,76,120,4.533333333333333,1.0
20,76,120,4.533333333333333,1.0
21,76,120,4.533333333333333,1.0
22,76,120,4.533333333333333,1.0
23,76,120,4.533333333333333,1.0
24,76,120,4.533333333333333,1.0
25,76,120,4.533333333333333,1.0
26,76,120,4.533333333333333,1.0
27,76,120,4.533333333333333,1.0
28,76,120,4.533333333333333,1.0
29,76,120,4.533333333333333,1.0
30,76,120,4.533333333333333,1.0
31,76,120,4.533333333333333,1.0
32,76,120,4.533333333333333,1.0
33,76,120,4.533333333333333,1.0
34,76,120,4.533333333333333,1.0
35,76,120,4.533333333333333,1.0
36,76,120,4.533333333333333,1.0
37,76,120,4.533333333333333,1.0
38,76,120,4.533333333333333,1.0
39,76,120,4.533333333333333,1.0
40,76,120,4.533333333333333,1.0
41,76,120,4.533333333333333,1.0
42,76,120,4.533333333333333,1.0
43,76,120,4.533333333333333,1.0
44,76,120,4.533333333333333,1.0
45,76,120,4.533333333333333,1.0
46,76,120,4.533333333333333,1.0
47,76,120,4.533333333333333,1.0
48,76,120,4.533333333333333,1.0
49,76,120,4.533333333333333,1.0
50,76,120,4.533333333333333,1.0
51,76,120,4.533333333333333,1.0
52,76,120,4.533333333333333,1.0
53,76,120,4.533333333333333,1.0
54,76,120,4.533333333333333,1.0
55,76,120,4.533333333333333,1.0
56,76,120,4.533333333333333,1.0
57,76,120,4.533333333333333,1.0
58,76,120,4.533333333333333,1.0
59,76,120,4.533333333333333,1.0
60,76,120,4.533333333333333,1.0
61,76,120,4.533333333333333,1.0
62,76,120,4.533333333333333,1.0
63,76,120,4.533333333333333,1.0
64,76,120,4.533333333333333,1.0
65,76,120,4.533333333333333,1.0
66,76,120,4.533333333333333,1.0
67,76,120,4.533333333333333,1.0
68,76,120,4.533333333333333,1.0
69,76,120,4.533333333333333,1.0
70,76,120,4.533333333333333,1.0
71,76,120,4.533333333333333,1.0
72,76,120,4.533333333333333,1.0
73,76,120,4.533333333333333,1.0
74,76,120,4.533333333333333,1.0
75,76,120,4.533333333333333,1.0
76,76,120,4.533333333333333,1.0
77,76,120,4.533333333333333,1.0
78,76,120,4.533333333333333,1.0
79,76,120,4.533333333333333,1.0
80,76,120,4.533333333333333,1.0
81,76,120,4.533333333333333,1.0
82,76,120,4.533333333333333,1.0
83,76,120,4.533333333333333,1.0
84,76,120,4.533333333333333,1.0
85,76,120,4.533333333333333,1.0
86,76,120,4.533333333333333,1.0
87,76,120,4.533333333333333,1.0
88,76,120,4.533333333333333,1.0
89,76,120,4.533333333333333,1.0
90,76,120,4.533333333333333,1.0
91,76,120,4.533333333333333,1.0
92,76,120,4.533333333333333,1.0
93,76,120,4.533333333333333,1.0
94,76,120,4.533333333333333,1.0
95,76,120,4.533333333333333,1.0
96,76,120,4.533333333333333,1.0
97,76,120,4.533333333333333,1.0
98,76,120,4.533333333333333,1.0
99,76,120,4.533333333333333,1.0
100,76,120,4.533333333333333,1.0
101,76,120,4.533333333333333,1.0
102,76,120,4.533333333333333,1.0
103,76,120,4.533333333333333,1.0
104,76,120,4.533333333333333,1.0
105,76,120,4.533333333333333,1.0
106,76,120,4.533333333333333,1.0
107,76,120,4.533333333333333,1.0
108,76,120,4.533333333333333,1.0
109,76,120,4.533333333333333,1.0
110,76,120,4.533333333333333,1.0
111,76,120,4.533333333333333,1.0
112,76,120,4.533333333333333,1.0
113,76,120,4.533333333333333,1.0
114,76,120,4.533333333333333,1.0
115,76,120,4.533333333333333,1.0
116,76,120,4.533333333333333,1.0
117,76,120,4.533333333333333,1.0
118,76,120,4.533333333333333,1.0
119,76,120,4.533333333333333,1.0
120,76,120,4.533333333333333,1.0
121,76,120,4.533333333333333,1.0
122,76,120,4.533333333333333,1.0
123,76,120,4.533333333333333,1.0
124,76,120,4.533333333333333,1.0
125,76,120,4.533333333333333,1.0
126,76,120,4.533333333333333,1.0
127,76,120,4.533333333333333,1.0
128,76,120,4.533333333333333,1.0
129,76,120,4.533333333333333,1.0
130,76,120,4.533333333333333,1.0
131,76,120,4.533333333333333,1.0
132,76,120,4.533333333333333,1.0
133,76,120,4.533333333333333,1.0
134,76,120,4.533333333333333,1.0
135,76,120,4.533333333333333,1.0
136,76,120,4.533333333333333,1.0
137,76,120,4.533333333333333,1.0
138,76,120,4.533333333333333,1.0
139,76,120,4.533333333333333,1.0
140,76,120,4.533333333333333,1.0
141,76,120,4.533333333333333,1.0
142,76,120,4.533333333333333,1.0
143,76,120,4.533333333333333,1.0
144,76,120,4.533333333333333,1.0
145,76,120,4.533333333333333,1.0
146,76,120,4.533333333333333,1.0
147,76,120,4.533333333333333,1.0
148,76,120,4.533333333333333,1.0
149,76,120,4.533333333333333,1.0
150,76,120,4.533333333333333,1.0
151,76,120,4.533333333333333,1.0
152,76,120,4.533333333333333,1.0
153,76,120,4.533333333333333,1.0
154,76,120,4.533333333333333,1.0
155,76,120,4.533333333333333,1.0
156,76,120,4.533333333333333,1.0
157,76,120,4.533333333333333,1.0
158,76,120,4.533333333333333,1.0
159,76,120,4.533333333333333,1.0
160,76,120,4.533333333333333,1.0
161,76,120,4.533333333333333,1.0
162,76,120,4.533333333333333,1.0
163,76,120,4.533333333333333,1.0
164,76,120,4.533333333333333,1.0
165,76,120,4.533333333333333,1.0
166,76,120,4.533333333333333,1.0
167,76,120,4.533333333333333,1.0
168,76,120,4.533333333333333,1.0
169,76,120,4.533333333333333,1.0
170,76,120,4.533333333333333,1.0
171,76,120,4.533333333333333,1.0
172,76,120,4.533333333333333,1.0
173,76,120,4.533333333333333,1.0
174,76,120,4.533333333333333,1.0
175,76,120,4.533333333333333,1.0
176,76,120,4.533333333333333,1.0
177,76,120,4.533333333333333,1.0
178,76,120,4.533333333333333,1.0
179,76,120,4.533333333333333,1.0
180,76,120,4.533333333333333,1.0
181,76,120,4.533333333333333,1.0
182,76,120,4.533333333333333,1.0
183,76,120,4.533333333333333,1.0
184,76,120,4.533333333333333,1.0
185,76,120,4.533333333333333,1.0
186,76,120,4.533333333333333,1.0
187,76,120,4.533333333333333,1.0
188,76,120,4.533333333333333,1.0
189,76,120,4.533333333333333,1.0
190,76,120,4.533333333333333,1.0
191,76,120,4.533333333333333,1.0
192,76,120,4.533333333333333,1.0
193,76,120,4.533333333333333,1.0
194,76,120,4.533333333333333,1.0
195,76,120,4.533333333333333,1.0
196,76,120,4.533333333333333,1.0
197,76,120,4.533333333333333,1.0
198,76,120,4.533333333333333,1.0
199,76,120,4.533333333333333,1.0
200,76,120,4.533333333333333,1.0
