t,active_size,active_centroid_depth,active_max_depth,active_p95_depth,detector_count,detector_ge_count,active_jaccard_prev
0,8,2.0,2,2.0,0,0,
1,11,2.6363636363636362,3,3.0,0,0,0.26666666666666666
2,16,3.0625,4,4.0,0,0,0.22727272727272727
3,21,3.1904761904761907,5,5.0,0,0,0.32142857142857145
4,22,3.6363636363636362,6,5.0,0,0,0.34375
5,25,3.96,6,6.0,0,0,0.3055555555555556
6,28,4.0,7,7.0,0,0,0.358974358974359
7,28,4.464285714285714,8,8.0,0,0,0.3333333333333333
8,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
9,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
10,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
11,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
12,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
13,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
14,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
15,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
16,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
17,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
18,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
19,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
20,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
21,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
22,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
23,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
24,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
25,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
26,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
27,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
28,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
29,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
30,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
31,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
32,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
33,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
34,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
35,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
36,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
37,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
38,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
39,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
40,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
41,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
42,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
43,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
44,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
45,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
46,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
47,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
48,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
49,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
50,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
51,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
52,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
53,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
54,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
55,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
56,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
57,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
58,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
59,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
60,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
61,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
62,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
63,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
64,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
65,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
66,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
67,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
68,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
69,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
70,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
71,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
72,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
73,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
74,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
75,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
76,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
77,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
78,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
79,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
80,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
81,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
82,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
83,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
84,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
85,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
86,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
87,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
88,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
89,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
90,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
91,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
92,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
93,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
94,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
95,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
96,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
97,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
98,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
99,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
100,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
101,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
102,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
103,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
104,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
105,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
106,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
107,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
108,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
109,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
110,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
111,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
112,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
113,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
114,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
115,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
116,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
117,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
118,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
119,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
120,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
121,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
122,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
123,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
124,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
125,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
126,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
127,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
128,30,4.7,9,8.549999999999997,0,0,0.3181818181818182
129,30,4.333333333333333,9,8.099999999999994,0,0,0.36363636363636365
130,28,4.464285714285714,8,8.0,0,0,0.3181818181818182
