t,n_active,pocket_size,pocket_depth_mean,pocket_jacc_prev
0,12,147,3.442176870748299,nan
1,24,147,3.442176870748299,1.0
2,46,151,3.443708609271523,0.9735099337748344
3,60,151,3.443708609271523,1.0
4,68,151,3.443708609271523,1.0
5,69,151,3.443708609271523,1.0
6,69,151,3.443708609271523,1.0
7,69,151,3.443708609271523,1.0
8,69,151,3.443708609271523,1.0
9,69,151,3.443708609271523,1.0
10,69,151,3.443708609271523,1.0
11,69,151,3.443708609271523,1.0
12,69,151,3.443708609271523,1.0
13,69,151,3.443708609271523,1.0
14,69,151,3.443708609271523,1.0
15,69,151,3.443708609271523,1.0
16,69,151,3.443708609271523,1.0
17,69,151,3.443708609271523,1.0
18,69,151,3.443708609271523,1.0
19,69,151,3.443708609271523,1.0
20,69,151,3.443708609271523,1.0
21,69,151,3.443708609271523,1.0
22,69,151,3.443708609271523,1.0
23,69,151,3.443708609271523,1.0
24,69,151,3.443708609271523,1.0
25,69,151,3.443708609271523,1.0
26,69,151,3.443708609271523,1.0
27,69,151,3.443708609271523,1.0
28,69,151,3.443708609271523,1.0
29,69,151,3.443708609271523,1.0
30,69,151,3.443708609271523,1.0
31,69,151,3.443708609271523,1.0
32,69,151,3.443708609271523,1.0
33,69,151,3.443708609271523,1.0
34,69,151,3.443708609271523,1.0
35,69,151,3.443708609271523,1.0
36,69,151,3.443708609271523,1.0
37,69,151,3.443708609271523,1.0
38,69,151,3.443708609271523,1.0
39,69,151,3.443708609271523,1.0
40,69,151,3.443708609271523,1.0
41,69,151,3.443708609271523,1.0
42,69,151,3.443708609271523,1.0
43,69,151,3.443708609271523,1.0
44,69,151,3.443708609271523,1.0
45,69,151,3.443708609271523,1.0
46,69,151,3.443708609271523,1.0
47,69,151,3.443708609271523,1.0
48,69,151,3.443708609271523,1.0
49,69,151,3.443708609271523,1.0
50,69,151,3.443708609271523,1.0
51,69,151,3.443708609271523,1.0
52,69,151,3.443708609271523,1.0
53,69,151,3.443708609271523,1.0
54,69,151,3.443708609271523,1.0
55,69,151,3.443708609271523,1.0
56,69,151,3.443708609271523,1.0
57,69,151,3.443708609271523,1.0
58,69,151,3.443708609271523,1.0
59,69,151,3.443708609271523,1.0
60,69,151,3.443708609271523,1.0
61,69,151,3.443708609271523,1.0
62,69,151,3.443708609271523,1.0
63,69,151,3.443708609271523,1.0
64,69,151,3.443708609271523,1.0
65,69,151,3.443708609271523,1.0
66,69,151,3.443708609271523,1.0
67,69,151,3.443708609271523,1.0
68,69,151,3.443708609271523,1.0
69,69,151,3.443708609271523,1.0
70,69,151,3.443708609271523,1.0
71,69,151,3.443708609271523,1.0
72,69,151,3.443708609271523,1.0
73,69,151,3.443708609271523,1.0
74,69,151,3.443708609271523,1.0
75,69,151,3.443708609271523,1.0
76,69,151,3.443708609271523,1.0
77,69,151,3.443708609271523,1.0
78,69,151,3.443708609271523,1.0
79,69,151,3.443708609271523,1.0
80,69,151,3.443708609271523,1.0
81,69,151,3.443708609271523,1.0
82,69,151,3.443708609271523,1.0
83,69,151,3.443708609271523,1.0
84,69,151,3.443708609271523,1.0
85,69,151,3.443708609271523,1.0
86,69,151,3.443708609271523,1.0
87,69,151,3.443708609271523,1.0
88,69,151,3.443708609271523,1.0
89,69,151,3.443708609271523,1.0
90,69,151,3.443708609271523,1.0
91,69,151,3.443708609271523,1.0
92,69,151,3.443708609271523,1.0
93,69,151,3.443708609271523,1.0
94,69,151,3.443708609271523,1.0
95,69,151,3.443708609271523,1.0
96,69,151,3.443708609271523,1.0
97,69,151,3.443708609271523,1.0
98,69,151,3.443708609271523,1.0
99,69,151,3.443708609271523,1.0
100,69,151,3.443708609271523,1.0
101,69,151,3.443708609271523,1.0
102,69,151,3.443708609271523,1.0
103,69,151,3.443708609271523,1.0
104,69,151,3.443708609271523,1.0
105,69,151,3.443708609271523,1.0
106,69,151,3.443708609271523,1.0
107,69,151,3.443708609271523,1.0
108,69,151,3.443708609271523,1.0
109,69,151,3.443708609271523,1.0
110,69,151,3.443708609271523,1.0
111,69,151,3.443708609271523,1.0
112,69,151,3.443708609271523,1.0
113,69,151,3.443708609271523,1.0
114,69,151,3.443708609271523,1.0
115,69,151,3.443708609271523,1.0
116,69,151,3.443708609271523,1.0
117,69,151,3.443708609271523,1.0
118,69,151,3.443708609271523,1.0
119,69,151,3.443708609271523,1.0
120,69,151,3.443708609271523,1.0
