t,active_size,pocket_size,pocket_centroid_depth,jaccard_prev
0,8,109,5.605504587155964,nan
1,28,109,5.605504587155964,1.0
2,42,109,5.605504587155964,1.0
3,55,116,5.543103448275862,0.9396551724137931
4,57,116,5.543103448275862,1.0
5,57,116,5.543103448275862,1.0
6,57,116,5.543103448275862,1.0
7,57,116,5.543103448275862,1.0
8,57,116,5.543103448275862,1.0
9,57,116,5.543103448275862,1.0
10,57,116,5.543103448275862,1.0
11,57,116,5.543103448275862,1.0
12,57,116,5.543103448275862,1.0
13,57,116,5.543103448275862,1.0
14,57,116,5.543103448275862,1.0
15,57,116,5.543103448275862,1.0
16,57,116,5.543103448275862,1.0
17,57,116,5.543103448275862,1.0
18,57,116,5.543103448275862,1.0
19,57,116,5.543103448275862,1.0
20,57,116,5.543103448275862,1.0
21,57,116,5.543103448275862,1.0
22,57,116,5.543103448275862,1.0
23,57,116,5.543103448275862,1.0
24,57,116,5.543103448275862,1.0
25,57,116,5.543103448275862,1.0
26,57,116,5.543103448275862,1.0
27,57,116,5.543103448275862,1.0
28,57,116,5.543103448275862,1.0
29,57,116,5.543103448275862,1.0
30,57,116,5.543103448275862,1.0
31,57,116,5.543103448275862,1.0
32,57,116,5.543103448275862,1.0
33,57,116,5.543103448275862,1.0
34,57,116,5.543103448275862,1.0
35,57,116,5.543103448275862,1.0
36,57,116,5.543103448275862,1.0
37,57,116,5.543103448275862,1.0
38,57,116,5.543103448275862,1.0
39,57,116,5.543103448275862,1.0
40,57,116,5.543103448275862,1.0
41,57,116,5.543103448275862,1.0
42,57,116,5.543103448275862,1.0
43,57,116,5.543103448275862,1.0
44,57,116,5.543103448275862,1.0
45,57,116,5.543103448275862,1.0
46,57,116,5.543103448275862,1.0
47,57,116,5.543103448275862,1.0
48,57,116,5.543103448275862,1.0
49,57,116,5.543103448275862,1.0
50,57,116,5.543103448275862,1.0
51,57,116,5.543103448275862,1.0
52,57,116,5.543103448275862,1.0
53,57,116,5.543103448275862,1.0
54,57,116,5.543103448275862,1.0
55,57,116,5.543103448275862,1.0
56,57,116,5.543103448275862,1.0
57,57,116,5.543103448275862,1.0
58,57,116,5.543103448275862,1.0
59,57,116,5.543103448275862,1.0
60,57,116,5.543103448275862,1.0
61,57,116,5.543103448275862,1.0
62,57,116,5.543103448275862,1.0
63,57,116,5.543103448275862,1.0
64,57,116,5.543103448275862,1.0
65,57,116,5.543103448275862,1.0
66,57,116,5.543103448275862,1.0
67,57,116,5.543103448275862,1.0
68,57,116,5.543103448275862,1.0
69,57,116,5.543103448275862,1.0
70,57,116,5.543103448275862,1.0
71,57,116,5.543103448275862,1.0
72,57,116,5.543103448275862,1.0
73,57,116,5.543103448275862,1.0
74,57,116,5.543103448275862,1.0
75,57,116,5.543103448275862,1.0
76,57,116,5.543103448275862,1.0
77,57,116,5.543103448275862,1.0
78,57,116,5.543103448275862,1.0
79,57,116,5.543103448275862,1.0
80,57,116,5.543103448275862,1.0
81,57,116,5.543103448275862,1.0
82,57,116,5.543103448275862,1.0
83,57,116,5.543103448275862,1.0
84,57,116,5.543103448275862,1.0
85,57,116,5.543103448275862,1.0
86,57,116,5.543103448275862,1.0
87,57,116,5.543103448275862,1.0
88,57,116,5.543103448275862,1.0
89,57,116,5.543103448275862,1.0
90,57,116,5.543103448275862,1.0
91,57,116,5.543103448275862,1.0
92,57,116,5.543103448275862,1.0
93,57,116,5.543103448275862,1.0
94,57,116,5.543103448275862,1.0
95,57,116,5.543103448275862,1.0
96,57,116,5.543103448275862,1.0
97,57,116,5.543103448275862,1.0
98,57,116,5.543103448275862,1.0
99,57,116,5.543103448275862,1.0
100,57,116,5.543103448275862,1.0
