t,active_size,active_centroid_depth,active_max_depth,active_p95_depth,detector_count,detector_ge_count,active_jaccard_prev
0,8,2.0,2,2.0,0,0,
1,12,2.6666666666666665,3,3.0,0,0,0.25
2,16,3.0625,4,4.0,0,0,0.21739130434782608
3,24,3.375,5,5.0,0,0,0.21212121212121213
4,30,4.0,6,6.0,0,0,0.35
5,30,4.533333333333333,7,7.0,0,0,0.25
6,34,4.382352941176471,8,8.0,0,0,0.23076923076923078
7,37,4.5675675675675675,7,7.0,0,0,0.36538461538461536
8,33,4.848484848484849,8,8.0,0,0,0.34615384615384615
9,34,4.382352941176471,8,8.0,0,0,0.28846153846153844
10,37,4.5675675675675675,7,7.0,0,0,0.36538461538461536
11,33,4.848484848484849,8,8.0,0,0,0.34615384615384615
12,34,4.382352941176471,8,8.0,0,0,0.28846153846153844
13,37,4.5675675675675675,7,7.0,0,0,0.36538461538461536
14,33,4.848484848484849,8,8.0,0,0,0.34615384615384615
15,34,4.382352941176471,8,8.0,0,0,0.28846153846153844
16,37,4.5675675675675675,7,7.0,0,0,0.36538461538461536
17,33,4.848484848484849,8,8.0,0,0,0.34615384615384615
18,34,4.382352941176471,8,8.0,0,0,0.28846153846153844
19,37,4.5675675675675675,7,7.0,0,0,0.36538461538461536
20,33,4.848484848484849,8,8.0,0,0,0.34615384615384615
21,34,4.382352941176471,8,8.0,0,0,0.28846153846153844
22,37,4.5675675675675675,7,7.0,0,0,0.36538461538461536
23,33,4.848484848484849,8,8.0,0,0,0.34615384615384615
24,34,4.382352941176471,8,8.0,0,0,0.28846153846153844
25,37,4.5675675675675675,7,7.0,0,0,0.36538461538461536
26,33,4.848484848484849,8,8.0,0,0,0.34615384615384615
27,34,4.382352941176471,8,8.0,0,0,0.28846153846153844
28,37,4.5675675675675675,7,7.0,0,0,0.36538461538461536
29,33,4.848484848484849,8,8.0,0,0,0.34615384615384615
30,34,4.382352941176471,8,8.0,0,0,0.28846153846153844
31,37,4.5675675675675675,7,7.0,0,0,0.36538461538461536
32,33,4.848484848484849,8,8.0,0,0,0.34615384615384615
33,34,4.382352941176471,8,8.0,0,0,0.28846153846153844
34,37,4.5675675675675675,7,7.0,0,0,0.36538461538461536
35,33,4.848484848484849,8,8.0,0,0,0.34615384615384615
36,34,4.382352941176471,8,8.0,0,0,0.28846153846153844
37,37,4.5675675675675675,7,7.0,0,0,0.36538461538461536
38,33,4.848484848484849,8,8.0,0,0,0.34615384615384615
39,34,4.382352941176471,8,8.0,0,0,0.28846153846153844
40,37,4.5675675675675675,7,7.0,0,0,0.36538461538461536
41,33,4.848484848484849,8,8.0,0,0,0.34615384615384615
42,34,4.382352941176471,8,8.0,0,0,0.28846153846153844
43,37,4.5675675675675675,7,7.0,0,0,0.36538461538461536
44,33,4.848484848484849,8,8.0,0,0,0.34615384615384615
45,34,4.382352941176471,8,8.0,0,0,0.28846153846153844
46,37,4.5675675675675675,7,7.0,0,0,0.36538461538461536
47,33,4.848484848484849,8,8.0,0,0,0.34615384615384615
48,34,4.382352941176471,8,8.0,0,0,0.28846153846153844
49,37,4.5675675675675675,7,7.0,0,0,0.36538461538461536
50,33,4.848484848484849,8,8.0,0,0,0.34615384615384615
51,34,4.382352941176471,8,8.0,0,0,0.28846153846153844
52,37,4.5675675675675675,7,7.0,0,0,0.36538461538461536
53,33,4.848484848484849,8,8.0,0,0,0.34615384615384615
54,34,4.382352941176471,8,8.0,0,0,0.28846153846153844
55,37,4.5675675675675675,7,7.0,0,0,0.36538461538461536
56,33,4.848484848484849,8,8.0,0,0,0.34615384615384615
57,34,4.382352941176471,8,8.0,0,0,0.28846153846153844
58,37,4.5675675675675675,7,7.0,0,0,0.36538461538461536
59,33,4.848484848484849,8,8.0,0,0,0.34615384615384615
60,34,4.382352941176471,8,8.0,0,0,0.28846153846153844
61,37,4.5675675675675675,7,7.0,0,0,0.36538461538461536
62,33,4.848484848484849,8,8.0,0,0,0.34615384615384615
63,34,4.382352941176471,8,8.0,0,0,0.28846153846153844
64,37,4.5675675675675675,7,7.0,0,0,0.36538461538461536
65,33,4.848484848484849,8,8.0,0,0,0.34615384615384615
66,34,4.382352941176471,8,8.0,0,0,0.28846153846153844
67,37,4.5675675675675675,7,7.0,0,0,0.36538461538461536
68,33,4.848484848484849,8,8.0,0,0,0.34615384615384615
69,34,4.382352941176471,8,8.0,0,0,0.28846153846153844
70,37,4.5675675675675675,7,7.0,0,0,0.36538461538461536
71,33,4.848484848484849,8,8.0,0,0,0.34615384615384615
72,34,4.382352941176471,8,8.0,0,0,0.28846153846153844
73,37,4.5675675675675675,7,7.0,0,0,0.36538461538461536
74,33,4.848484848484849,8,8.0,0,0,0.34615384615384615
75,34,4.382352941176471,8,8.0,0,0,0.28846153846153844
76,37,4.5675675675675675,7,7.0,0,0,0.36538461538461536
77,33,4.848484848484849,8,8.0,0,0,0.34615384615384615
78,34,4.382352941176471,8,8.0,0,0,0.28846153846153844
79,37,4.5675675675675675,7,7.0,0,0,0.36538461538461536
80,33,4.848484848484849,8,8.0,0,0,0.34615384615384615
81,34,4.382352941176471,8,8.0,0,0,0.28846153846153844
82,37,4.5675675675675675,7,7.0,0,0,0.36538461538461536
83,33,4.848484848484849,8,8.0,0,0,0.34615384615384615
84,34,4.382352941176471,8,8.0,0,0,0.28846153846153844
85,37,4.5675675675675675,7,7.0,0,0,0.36538461538461536
86,33,4.848484848484849,8,8.0,0,0,0.34615384615384615
87,34,4.382352941176471,8,8.0,0,0,0.28846153846153844
88,37,4.5675675675675675,7,7.0,0,0,0.36538461538461536
89,33,4.848484848484849,8,8.0,0,0,0.34615384615384615
90,34,4.382352941176471,8,8.0,0,0,0.28846153846153844
91,37,4.5675675675675675,7,7.0,0,0,0.36538461538461536
92,33,4.848484848484849,8,8.0,0,0,0.34615384615384615
93,34,4.382352941176471,8,8.0,0,0,0.28846153846153844
94,37,4.5675675675675675,7,7.0,0,0,0.36538461538461536
95,33,4.848484848484849,8,8.0,0,0,0.34615384615384615
96,34,4.382352941176471,8,8.0,0,0,0.28846153846153844
97,37,4.5675675675675675,7,7.0,0,0,0.36538461538461536
98,33,4.848484848484849,8,8.0,0,0,0.34615384615384615
99,34,4.382352941176471,8,8.0,0,0,0.28846153846153844
100,37,4.5675675675675675,7,7.0,0,0,0.36538461538461536
101,33,4.848484848484849,8,8.0,0,0,0.34615384615384615
102,34,4.382352941176471,8,8.0,0,0,0.28846153846153844
103,37,4.5675675675675675,7,7.0,0,0,0.36538461538461536
104,33,4.848484848484849,8,8.0,0,0,0.34615384615384615
105,34,4.382352941176471,8,8.0,0,0,0.28846153846153844
106,37,4.5675675675675675,7,7.0,0,0,0.36538461538461536
107,33,4.848484848484849,8,8.0,0,0,0.34615384615384615
108,34,4.382352941176471,8,8.0,0,0,0.28846153846153844
109,37,4.5675675675675675,7,7.0,0,0,0.36538461538461536
110,33,4.848484848484849,8,8.0,0,0,0.34615384615384615
111,34,4.382352941176471,8,8.0,0,0,0.28846153846153844
112,37,4.5675675675675675,7,7.0,0,0,0.36538461538461536
113,33,4.848484848484849,8,8.0,0,0,0.34615384615384615
