t,active_size,active_centroid_depth,active_max_depth,active_p95_depth,detector_count,detector_ge_count,active_jaccard_prev
0,8,2.0,2,2.0,0,0,
1,313,20.073482428115017,39,36.0,9,61,0.012618296529968454
2,327,20.8868501529052,39,37.0,10,92,0.28772635814889336
3,354,20.081920903954803,39,37.0,13,81,0.3702213279678068
4,313,20.073482428115017,39,36.0,9,61,0.3420523138832998
5,327,20.8868501529052,39,37.0,10,92,0.28772635814889336
6,354,20.081920903954803,39,37.0,13,81,0.3702213279678068
7,313,20.073482428115017,39,36.0,9,61,0.3420523138832998
8,327,20.8868501529052,39,37.0,10,92,0.28772635814889336
9,354,20.081920903954803,39,37.0,13,81,0.3702213279678068
10,313,20.073482428115017,39,36.0,9,61,0.3420523138832998
11,327,20.8868501529052,39,37.0,10,92,0.28772635814889336
12,354,20.081920903954803,39,37.0,13,81,0.3702213279678068
13,313,20.073482428115017,39,36.0,9,61,0.3420523138832998
14,327,20.8868501529052,39,37.0,10,92,0.28772635814889336
15,354,20.081920903954803,39,37.0,13,81,0.3702213279678068
16,313,20.073482428115017,39,36.0,9,61,0.3420523138832998
17,327,20.8868501529052,39,37.0,10,92,0.28772635814889336
18,354,20.081920903954803,39,37.0,13,81,0.3702213279678068
19,313,20.073482428115017,39,36.0,9,61,0.3420523138832998
20,327,20.8868501529052,39,37.0,10,92,0.28772635814889336
21,354,20.081920903954803,39,37.0,13,81,0.3702213279678068
22,313,20.073482428115017,39,36.0,9,61,0.3420523138832998
23,327,20.8868501529052,39,37.0,10,92,0.28772635814889336
24,354,20.081920903954803,39,37.0,13,81,0.3702213279678068
25,313,20.073482428115017,39,36.0,9,61,0.3420523138832998
26,327,20.8868501529052,39,37.0,10,92,0.28772635814889336
27,354,20.081920903954803,39,37.0,13,81,0.3702213279678068
28,313,20.073482428115017,39,36.0,9,61,0.3420523138832998
29,327,20.8868501529052,39,37.0,10,92,0.28772635814889336
30,354,20.081920903954803,39,37.0,13,81,0.3702213279678068
31,313,20.073482428115017,39,36.0,9,61,0.3420523138832998
32,327,20.8868501529052,39,37.0,10,92,0.28772635814889336
33,354,20.081920903954803,39,37.0,13,81,0.3702213279678068
34,313,20.073482428115017,39,36.0,9,61,0.3420523138832998
35,327,20.8868501529052,39,37.0,10,92,0.28772635814889336
36,354,20.081920903954803,39,37.0,13,81,0.3702213279678068
37,313,20.073482428115017,39,36.0,9,61,0.3420523138832998
38,327,20.8868501529052,39,37.0,10,92,0.28772635814889336
39,354,20.081920903954803,39,37.0,13,81,0.3702213279678068
40,313,20.073482428115017,39,36.0,9,61,0.3420523138832998
41,327,20.8868501529052,39,37.0,10,92,0.28772635814889336
42,354,20.081920903954803,39,37.0,13,81,0.3702213279678068
43,313,20.073482428115017,39,36.0,9,61,0.3420523138832998
44,327,20.8868501529052,39,37.0,10,92,0.28772635814889336
45,354,20.081920903954803,39,37.0,13,81,0.3702213279678068
46,313,20.073482428115017,39,36.0,9,61,0.3420523138832998
47,327,20.8868501529052,39,37.0,10,92,0.28772635814889336
48,354,20.081920903954803,39,37.0,13,81,0.3702213279678068
49,313,20.073482428115017,39,36.0,9,61,0.3420523138832998
50,327,20.8868501529052,39,37.0,10,92,0.28772635814889336
51,354,20.081920903954803,39,37.0,13,81,0.3702213279678068
52,313,20.073482428115017,39,36.0,9,61,0.3420523138832998
53,327,20.8868501529052,39,37.0,10,92,0.28772635814889336
54,354,20.081920903954803,39,37.0,13,81,0.3702213279678068
55,313,20.073482428115017,39,36.0,9,61,0.3420523138832998
56,327,20.8868501529052,39,37.0,10,92,0.28772635814889336
57,354,20.081920903954803,39,37.0,13,81,0.3702213279678068
