t,active_size,active_centroid_depth,pocket_size,pocket_centroid_depth,jaccard_prev,active_jaccard_prev
0,10,14.0,157,7.312101910828026,nan,nan
1,118,21.74576271186441,296,14.067567567567568,0.5304054054054054,0.0847457627118644
2,118,21.74576271186441,296,14.067567567567568,1.0,1.0
3,118,21.74576271186441,296,14.067567567567568,1.0,1.0
4,118,21.74576271186441,296,14.067567567567568,1.0,1.0
5,118,21.74576271186441,296,14.067567567567568,1.0,1.0
6,118,21.74576271186441,296,14.067567567567568,1.0,1.0
7,118,21.74576271186441,296,14.067567567567568,1.0,1.0
8,118,21.74576271186441,296,14.067567567567568,1.0,1.0
9,118,21.74576271186441,296,14.067567567567568,1.0,1.0
10,118,21.74576271186441,296,14.067567567567568,1.0,1.0
11,118,21.74576271186441,296,14.067567567567568,1.0,1.0
12,118,21.74576271186441,296,14.067567567567568,1.0,1.0
13,118,21.74576271186441,296,14.067567567567568,1.0,1.0
14,118,21.74576271186441,296,14.067567567567568,1.0,1.0
15,118,21.74576271186441,296,14.067567567567568,1.0,1.0
16,118,21.74576271186441,296,14.067567567567568,1.0,1.0
17,118,21.74576271186441,296,14.067567567567568,1.0,1.0
18,118,21.74576271186441,296,14.067567567567568,1.0,1.0
19,118,21.74576271186441,296,14.067567567567568,1.0,1.0
20,118,21.74576271186441,296,14.067567567567568,1.0,1.0
21,118,21.74576271186441,296,14.067567567567568,1.0,1.0
22,118,21.74576271186441,296,14.067567567567568,1.0,1.0
23,118,21.74576271186441,296,14.067567567567568,1.0,1.0
24,118,21.74576271186441,296,14.067567567567568,1.0,1.0
25,118,21.74576271186441,296,14.067567567567568,1.0,1.0
26,118,21.74576271186441,296,14.067567567567568,1.0,1.0
27,118,21.74576271186441,296,14.067567567567568,1.0,1.0
28,118,21.74576271186441,296,14.067567567567568,1.0,1.0
29,118,21.74576271186441,296,14.067567567567568,1.0,1.0
30,118,21.74576271186441,296,14.067567567567568,1.0,1.0
31,118,21.74576271186441,296,14.067567567567568,1.0,1.0
32,118,21.74576271186441,296,14.067567567567568,1.0,1.0
33,118,21.74576271186441,296,14.067567567567568,1.0,1.0
34,118,21.74576271186441,296,14.067567567567568,1.0,1.0
35,118,21.74576271186441,296,14.067567567567568,1.0,1.0
36,118,21.74576271186441,296,14.067567567567568,1.0,1.0
37,118,21.74576271186441,296,14.067567567567568,1.0,1.0
38,118,21.74576271186441,296,14.067567567567568,1.0,1.0
39,118,21.74576271186441,296,14.067567567567568,1.0,1.0
40,118,21.74576271186441,296,14.067567567567568,1.0,1.0
41,118,21.74576271186441,296,14.067567567567568,1.0,1.0
42,118,21.74576271186441,296,14.067567567567568,1.0,1.0
43,118,21.74576271186441,296,14.067567567567568,1.0,1.0
44,118,21.74576271186441,296,14.067567567567568,1.0,1.0
45,118,21.74576271186441,296,14.067567567567568,1.0,1.0
46,118,21.74576271186441,296,14.067567567567568,1.0,1.0
47,118,21.74576271186441,296,14.067567567567568,1.0,1.0
48,118,21.74576271186441,296,14.067567567567568,1.0,1.0
49,118,21.74576271186441,296,14.067567567567568,1.0,1.0
50,118,21.74576271186441,296,14.067567567567568,1.0,1.0
51,118,21.74576271186441,296,14.067567567567568,1.0,1.0
52,118,21.74576271186441,296,14.067567567567568,1.0,1.0
53,118,21.74576271186441,296,14.067567567567568,1.0,1.0
54,118,21.74576271186441,296,14.067567567567568,1.0,1.0
55,118,21.74576271186441,296,14.067567567567568,1.0,1.0
56,118,21.74576271186441,296,14.067567567567568,1.0,1.0
57,118,21.74576271186441,296,14.067567567567568,1.0,1.0
58,118,21.74576271186441,296,14.067567567567568,1.0,1.0
59,118,21.74576271186441,296,14.067567567567568,1.0,1.0
60,118,21.74576271186441,296,14.067567567567568,1.0,1.0
61,118,21.74576271186441,296,14.067567567567568,1.0,1.0
62,118,21.74576271186441,296,14.067567567567568,1.0,1.0
63,118,21.74576271186441,296,14.067567567567568,1.0,1.0
64,118,21.74576271186441,296,14.067567567567568,1.0,1.0
65,118,21.74576271186441,296,14.067567567567568,1.0,1.0
66,118,21.74576271186441,296,14.067567567567568,1.0,1.0
67,118,21.74576271186441,296,14.067567567567568,1.0,1.0
68,118,21.74576271186441,296,14.067567567567568,1.0,1.0
69,118,21.74576271186441,296,14.067567567567568,1.0,1.0
70,118,21.74576271186441,296,14.067567567567568,1.0,1.0
71,118,21.74576271186441,296,14.067567567567568,1.0,1.0
72,118,21.74576271186441,296,14.067567567567568,1.0,1.0
73,118,21.74576271186441,296,14.067567567567568,1.0,1.0
74,118,21.74576271186441,296,14.067567567567568,1.0,1.0
75,118,21.74576271186441,296,14.067567567567568,1.0,1.0
76,118,21.74576271186441,296,14.067567567567568,1.0,1.0
77,118,21.74576271186441,296,14.067567567567568,1.0,1.0
78,118,21.74576271186441,296,14.067567567567568,1.0,1.0
79,118,21.74576271186441,296,14.067567567567568,1.0,1.0
80,118,21.74576271186441,296,14.067567567567568,1.0,1.0
81,118,21.74576271186441,296,14.067567567567568,1.0,1.0
82,118,21.74576271186441,296,14.067567567567568,1.0,1.0
83,118,21.74576271186441,296,14.067567567567568,1.0,1.0
84,118,21.74576271186441,296,14.067567567567568,1.0,1.0
85,118,21.74576271186441,296,14.067567567567568,1.0,1.0
86,118,21.74576271186441,296,14.067567567567568,1.0,1.0
87,118,21.74576271186441,296,14.067567567567568,1.0,1.0
88,118,21.74576271186441,296,14.067567567567568,1.0,1.0
89,118,21.74576271186441,296,14.067567567567568,1.0,1.0
90,118,21.74576271186441,296,14.067567567567568,1.0,1.0
91,118,21.74576271186441,296,14.067567567567568,1.0,1.0
92,118,21.74576271186441,296,14.067567567567568,1.0,1.0
93,118,21.74576271186441,296,14.067567567567568,1.0,1.0
94,118,21.74576271186441,296,14.067567567567568,1.0,1.0
95,118,21.74576271186441,296,14.067567567567568,1.0,1.0
96,118,21.74576271186441,296,14.067567567567568,1.0,1.0
97,118,21.74576271186441,296,14.067567567567568,1.0,1.0
98,118,21.74576271186441,296,14.067567567567568,1.0,1.0
99,118,21.74576271186441,296,14.067567567567568,1.0,1.0
100,118,21.74576271186441,296,14.067567567567568,1.0,1.0
