t,active_size,active_centroid_depth,active_max_depth,active_p95_depth,detector_count,detector_ge_count,active_jaccard_prev
0,8,2.0,2,2.0,0,0,
1,12,2.6666666666666665,3,3.0,0,0,0.25
2,17,3.1176470588235294,4,4.0,0,0,0.20833333333333334
3,24,3.375,5,5.0,0,0,0.24242424242424243
4,29,4.0,6,6.0,0,0,0.325
5,31,4.516129032258065,7,7.0,0,0,0.25
6,34,4.382352941176471,8,8.0,0,0,0.25
7,36,4.583333333333333,7,7.0,0,0,0.34615384615384615
8,34,4.823529411764706,8,8.0,0,0,0.34615384615384615
9,34,4.382352941176471,8,8.0,0,0,0.3076923076923077
10,36,4.583333333333333,7,7.0,0,0,0.34615384615384615
11,34,4.823529411764706,8,8.0,0,0,0.34615384615384615
12,34,4.382352941176471,8,8.0,0,0,0.3076923076923077
13,36,4.583333333333333,7,7.0,0,0,0.34615384615384615
14,34,4.823529411764706,8,8.0,0,0,0.34615384615384615
15,34,4.382352941176471,8,8.0,0,0,0.3076923076923077
16,36,4.583333333333333,7,7.0,0,0,0.34615384615384615
17,34,4.823529411764706,8,8.0,0,0,0.34615384615384615
18,34,4.382352941176471,8,8.0,0,0,0.3076923076923077
19,36,4.583333333333333,7,7.0,0,0,0.34615384615384615
20,34,4.823529411764706,8,8.0,0,0,0.34615384615384615
21,34,4.382352941176471,8,8.0,0,0,0.3076923076923077
22,36,4.583333333333333,7,7.0,0,0,0.34615384615384615
23,34,4.823529411764706,8,8.0,0,0,0.34615384615384615
24,34,4.382352941176471,8,8.0,0,0,0.3076923076923077
25,36,4.583333333333333,7,7.0,0,0,0.34615384615384615
26,34,4.823529411764706,8,8.0,0,0,0.34615384615384615
27,34,4.382352941176471,8,8.0,0,0,0.3076923076923077
28,36,4.583333333333333,7,7.0,0,0,0.34615384615384615
29,34,4.823529411764706,8,8.0,0,0,0.34615384615384615
30,34,4.382352941176471,8,8.0,0,0,0.3076923076923077
31,36,4.583333333333333,7,7.0,0,0,0.34615384615384615
32,34,4.823529411764706,8,8.0,0,0,0.34615384615384615
33,34,4.382352941176471,8,8.0,0,0,0.3076923076923077
34,36,4.583333333333333,7,7.0,0,0,0.34615384615384615
35,34,4.823529411764706,8,8.0,0,0,0.34615384615384615
36,34,4.382352941176471,8,8.0,0,0,0.3076923076923077
37,36,4.583333333333333,7,7.0,0,0,0.34615384615384615
38,34,4.823529411764706,8,8.0,0,0,0.34615384615384615
39,34,4.382352941176471,8,8.0,0,0,0.3076923076923077
40,36,4.583333333333333,7,7.0,0,0,0.34615384615384615
41,34,4.823529411764706,8,8.0,0,0,0.34615384615384615
42,34,4.382352941176471,8,8.0,0,0,0.3076923076923077
43,36,4.583333333333333,7,7.0,0,0,0.34615384615384615
44,34,4.823529411764706,8,8.0,0,0,0.34615384615384615
45,34,4.382352941176471,8,8.0,0,0,0.3076923076923077
46,36,4.583333333333333,7,7.0,0,0,0.34615384615384615
47,34,4.823529411764706,8,8.0,0,0,0.34615384615384615
48,34,4.382352941176471,8,8.0,0,0,0.3076923076923077
49,36,4.583333333333333,7,7.0,0,0,0.34615384615384615
50,34,4.823529411764706,8,8.0,0,0,0.34615384615384615
51,34,4.382352941176471,8,8.0,0,0,0.3076923076923077
52,36,4.583333333333333,7,7.0,0,0,0.34615384615384615
53,34,4.823529411764706,8,8.0,0,0,0.34615384615384615
54,34,4.382352941176471,8,8.0,0,0,0.3076923076923077
55,36,4.583333333333333,7,7.0,0,0,0.34615384615384615
56,34,4.823529411764706,8,8.0,0,0,0.34615384615384615
57,34,4.382352941176471,8,8.0,0,0,0.3076923076923077
58,36,4.583333333333333,7,7.0,0,0,0.34615384615384615
59,34,4.823529411764706,8,8.0,0,0,0.34615384615384615
60,34,4.382352941176471,8,8.0,0,0,0.3076923076923077
61,36,4.583333333333333,7,7.0,0,0,0.34615384615384615
62,34,4.823529411764706,8,8.0,0,0,0.34615384615384615
63,34,4.382352941176471,8,8.0,0,0,0.3076923076923077
64,36,4.583333333333333,7,7.0,0,0,0.34615384615384615
65,34,4.823529411764706,8,8.0,0,0,0.34615384615384615
66,34,4.382352941176471,8,8.0,0,0,0.3076923076923077
67,36,4.583333333333333,7,7.0,0,0,0.34615384615384615
68,34,4.823529411764706,8,8.0,0,0,0.34615384615384615
69,34,4.382352941176471,8,8.0,0,0,0.3076923076923077
70,36,4.583333333333333,7,7.0,0,0,0.34615384615384615
71,34,4.823529411764706,8,8.0,0,0,0.34615384615384615
72,34,4.382352941176471,8,8.0,0,0,0.3076923076923077
73,36,4.583333333333333,7,7.0,0,0,0.34615384615384615
74,34,4.823529411764706,8,8.0,0,0,0.34615384615384615
75,34,4.382352941176471,8,8.0,0,0,0.3076923076923077
76,36,4.583333333333333,7,7.0,0,0,0.34615384615384615
77,34,4.823529411764706,8,8.0,0,0,0.34615384615384615
78,34,4.382352941176471,8,8.0,0,0,0.3076923076923077
79,36,4.583333333333333,7,7.0,0,0,0.34615384615384615
80,34,4.823529411764706,8,8.0,0,0,0.34615384615384615
81,34,4.382352941176471,8,8.0,0,0,0.3076923076923077
82,36,4.583333333333333,7,7.0,0,0,0.34615384615384615
83,34,4.823529411764706,8,8.0,0,0,0.34615384615384615
84,34,4.382352941176471,8,8.0,0,0,0.3076923076923077
85,36,4.583333333333333,7,7.0,0,0,0.34615384615384615
86,34,4.823529411764706,8,8.0,0,0,0.34615384615384615
87,34,4.382352941176471,8,8.0,0,0,0.3076923076923077
88,36,4.583333333333333,7,7.0,0,0,0.34615384615384615
89,34,4.823529411764706,8,8.0,0,0,0.34615384615384615
90,34,4.382352941176471,8,8.0,0,0,0.3076923076923077
91,36,4.583333333333333,7,7.0,0,0,0.34615384615384615
92,34,4.823529411764706,8,8.0,0,0,0.34615384615384615
93,34,4.382352941176471,8,8.0,0,0,0.3076923076923077
94,36,4.583333333333333,7,7.0,0,0,0.34615384615384615
95,34,4.823529411764706,8,8.0,0,0,0.34615384615384615
96,34,4.382352941176471,8,8.0,0,0,0.3076923076923077
97,36,4.583333333333333,7,7.0,0,0,0.34615384615384615
98,34,4.823529411764706,8,8.0,0,0,0.34615384615384615
99,34,4.382352941176471,8,8.0,0,0,0.3076923076923077
100,36,4.583333333333333,7,7.0,0,0,0.34615384615384615
101,34,4.823529411764706,8,8.0,0,0,0.34615384615384615
102,34,4.382352941176471,8,8.0,0,0,0.3076923076923077
103,36,4.583333333333333,7,7.0,0,0,0.34615384615384615
104,34,4.823529411764706,8,8.0,0,0,0.34615384615384615
105,34,4.382352941176471,8,8.0,0,0,0.3076923076923077
106,36,4.583333333333333,7,7.0,0,0,0.34615384615384615
107,34,4.823529411764706,8,8.0,0,0,0.34615384615384615
108,34,4.382352941176471,8,8.0,0,0,0.3076923076923077
109,36,4.583333333333333,7,7.0,0,0,0.34615384615384615
110,34,4.823529411764706,8,8.0,0,0,0.34615384615384615
111,34,4.382352941176471,8,8.0,0,0,0.3076923076923077
112,36,4.583333333333333,7,7.0,0,0,0.34615384615384615
113,34,4.823529411764706,8,8.0,0,0,0.34615384615384615
114,34,4.382352941176471,8,8.0,0,0,0.3076923076923077
