id,order,nodes,edges,loss
265,1,18,24,0.0
266,1,18,23,0.0
267,6,18,31,0.0
268,1,18,26,0.0
269,6,18,26,0.0
270,1,18,24,0.0
271,1,18,24,0.0
272,6,18,27,0.0
273,1,18,29,0.0
274,6,18,25,0.0
275,1,18,31,0.0
276,6,18,22,0.0
277,6,18,33,0.0
278,1,18,26,0.0
279,1,18,22,0.0
280,1,18,31,0.0
281,1,18,26,0.0
282,6,18,26,0.0
283,1,18,27,0.0
284,1,18,22,0.0
285,6,18,27,0.0
286,1,18,30,0.0
287,2,18,26,0.0
288,1,18,26,0.0
289,6,18,28,0.0
290,1,18,32,0.0
291,2,18,28,0.0
292,1,18,25,0.0
293,6,18,30,0.0
294,6,18,22,0.0
295,1,18,29,0.0
296,1,18,23,0.0
297,1,18,29,0.0
298,1,18,30,0.0
299,1,18,25,0.0
300,6,18,26,0.0
301,6,18,32,0.0
302,1,18,25,0.0
303,1,18,25,0.0
304,1,18,22,0.0
305,6,18,22,0.0
306,1,18,26,0.0
307,1,18,34,0.0
308,1,18,30,0.0
309,6,18,27,0.0
310,1,18,33,0.0
311,6,18,29,0.0
312,1,18,26,0.0
313,1,18,22,0.0
314,6,18,30,0.0
315,6,18,35,0.0
316,1,18,24,0.0
317,1,18,25,0.0
318,6,18,31,0.0
319,6,18,19,0.0
320,1,18,32,0.0
321,6,18,28,0.0
322,6,18,22,0.0
323,1,18,25,0.0
324,6,18,26,0.0
325,1,18,20,0.0
326,6,18,30,0.0
327,6,18,31,0.0
328,1,18,26,0.0
329,6,18,28,0.0
330,6,18,23,0.0
331,6,18,25,0.0
332,1,18,30,0.0
333,6,18,28,0.0
334,1,18,31,0.0
335,1,18,31,0.0
336,1,18,24,0.0
337,6,18,30,0.0
338,6,18,29,0.0
339,1,18,29,0.0
340,1,18,29,0.0
341,6,18,29,0.0
342,1,18,23,0.0
343,6,18,30,0.0
344,1,18,29,0.0
345,1,18,26,0.0
346,6,18,26,0.0
347,6,18,29,0.0
348,6,18,20,0.0
349,6,18,25,0.0
350,1,18,27,0.0
351,1,18,24,0.0
352,1,18,27,0.0
353,1,18,31,0.0
354,6,18,27,0.0
355,1,18,25,0.0
356,2,18,20,0.0
357,6,18,26,0.0
358,6,18,27,0.0
359,6,18,25,0.0
360,6,18,30,0.0
361,1,18,21,0.0
362,1,18,28,0.0
363,6,18,26,0.0
364,6,18,24,0.0
365,1,18,31,0.0
366,6,18,26,0.0
367,1,18,26,0.0
368,1,18,20,0.0
369,1,18,22,0.0
370,6,18,23,0.0
371,1,18,25,0.0
372,6,18,35,0.0
373,1,18,26,0.0
374,1,18,24,0.0
375,1,18,30,0.0
376,6,18,35,0.0
377,6,18,26,0.0
378,6,18,23,0.0
379,6,18,25,0.0
380,1,18,24,0.0
381,1,18,22,0.0
382,6,18,26,0.0
383,6,18,26,0.0
384,6,18,26,0.0
385,1,18,27,0.0
386,1,18,29,0.0
387,6,18,23,0.0
388,6,18,30,0.0
389,1,18,30,0.0
390,1,18,29,0.0
391,1,18,31,0.0
392,1,18,31,0.0
393,6,18,31,0.0
394,1,18,28,0.0
395,1,18,29,0.0
396,1,18,25,0.0
397,1,18,32,0.0
398,1,18,30,0.0
399,6,18,30,0.0
400,2,18,25,0.0
401,2,18,26,0.0
402,1,18,25,0.0
403,6,18,30,0.0
404,6,18,21,0.0
405,1,18,24,0.0
406,6,18,23,0.0
407,6,18,33,0.0
408,1,18,30,0.0
409,1,18,31,0.0
410,1,18,27,0.0
411,6,18,26,0.0
412,6,18,20,0.0
413,6,18,35,0.0
414,1,18,26,0.0
415,2,18,26,0.0
416,6,18,30,0.0
417,6,18,33,0.0
418,1,18,30,0.0
419,6,18,34,0.0
420,6,18,29,0.0
421,1,18,26,0.0
422,6,18,28,0.0
423,1,18,30,0.0
424,1,18,27,0.0
425,1,18,30,0.0
426,6,18,27,0.0
427,1,18,30,0.0
428,1,18,26,0.0
429,1,18,24,0.0
430,6,18,21,0.0
431,6,18,31,0.0
432,1,18,27,0.0
433,6,18,32,0.0
434,2,18,22,0.0
435,1,18,26,0.0
436,6,18,29,0.0
437,6,18,24,0.0
438,1,18,28,0.0
439,1,18,26,0.0
440,1,18,24,0.0
441,6,18,31,0.0
442,1,18,31,0.0
443,1,18,25,0.0
444,6,18,23,0.0
445,6,18,23,0.0
446,1,18,23,0.0
447,1,18,13,0.0
448,2,18,29,0.0
449,1,18,25,0.0
450,6,18,31,0.0
451,1,18,30,0.0
452,6,18,29,0.0
453,6,18,19,0.0
454,2,18,31,0.0
455,1,18,27,0.0
456,1,18,25,0.0
457,6,18,31,0.0
458,1,18,24,0.0
459,6,18,29,0.0
460,1,18,27,0.0
461,6,18,30,0.0
462,1,18,26,0.0
463,1,18,20,0.0
464,6,18,31,0.0
465,1,18,28,0.0
466,1,18,22,0.0
467,1,18,24,0.0
468,1,18,26,0.0
469,1,18,27,0.0
470,6,18,28,0.0
471,1,18,22,0.0
472,6,18,28,0.0
473,6,18,27,0.0
474,1,18,23,0.0
475,6,18,30,0.0
476,6,18,27,0.0
477,6,18,31,0.0
478,6,18,26,0.0
479,1,18,26,0.0
480,6,18,31,0.0
481,1,18,17,0.0
482,6,18,32,0.0
483,6,18,28,0.0
484,1,18,20,0.0
485,6,18,27,0.0
486,6,18,26,0.0
487,6,18,25,0.0
488,1,18,27,0.0
489,1,18,25,0.0
490,6,18,35,0.0
491,1,18,23,0.0
492,1,18,28,0.0
493,6,18,29,0.0
494,6,18,29,0.0
495,1,18,33,0.0
496,6,18,29,0.0
497,1,18,28,0.0
498,1,18,21,0.0
499,1,18,26,0.0
